No,nama_makanan,kategori,berat_gr,kalori,protein
1,Kerang Dara Rebus,hewani,100,155.8,26.04
1,Kerang Dara Rebus,hewani,200,580.7,36.83
1,Kerang Dara Rebus,hewani,300,808.48,70.26
2,Ikan Lele Goreng,hewani,100,247.09,24.42
2,Ikan Lele Goreng,hewani,200,347.7,49.79
2,Ikan Lele Goreng,hewani,300,837.68,46.74
3,Ayam Goreng Rebus,hewani,100,226.97,24.78
3,Ayam Goreng Rebus,hewani,200,306.35,41.98
3,Ayam Goreng Rebus,hewani,300,792.54,54.81
4,Cumi Goreng Tepung Sambal,hewani,100,266.38,26.46
4,Cumi Goreng Tepung Sambal,hewani,200,438.6,44.32
4,Cumi Goreng Tepung Sambal,hewani,300,762.59,87.39
5,Ayam Goreng Kuah,hewani,100,231.55,21.92
5,Ayam Goreng Kuah,hewani,200,438.13,41.17
5,Ayam Goreng Kuah,hewani,300,500.88,73.84
6,Sate Ayam Goreng,hewani,100,156.83,26.96
6,Sate Ayam Goreng,hewani,200,481.41,42.79
6,Sate Ayam Goreng,hewani,300,457.46,84.24
7,Ikan Asin Jambal Balado,hewani,100,166.78,19.51
7,Ikan Asin Jambal Balado,hewani,200,408.96,46.55
7,Ikan Asin Jambal Balado,hewani,300,824.88,81.03
8,Gulai Kambing Rebus,hewani,100,173.95,16.98
8,Gulai Kambing Rebus,hewani,200,560.2,43.1
8,Gulai Kambing Rebus,hewani,300,875.03,75.94
9,Cumi Balado,hewani,100,190.09,23.32
9,Cumi Balado,hewani,200,366.57,38.16
9,Cumi Balado,hewani,300,540.8,73.32
10,Ikan Mujair Bakar,hewani,100,178.09,24.16
10,Ikan Mujair Bakar,hewani,200,423.83,50.98
10,Ikan Mujair Bakar,hewani,300,859.35,63.09
11,Rendang Kecap,hewani,100,179.59,18.88
11,Rendang Kecap,hewani,200,494.82,42.61
11,Rendang Kecap,hewani,300,555.41,69.83
12,Ayam Broiler Goreng,hewani,100,281.5,19.13
12,Ayam Broiler Goreng,hewani,200,581.55,48.24
12,Ayam Broiler Goreng,hewani,300,457.81,61.67
13,Udang Balado,hewani,100,253.05,23.32
13,Udang Balado,hewani,200,563.94,38.41
13,Udang Balado,hewani,300,816.91,59.43
14,Udang Balado Kuah,hewani,100,158.92,29.23
14,Udang Balado Kuah,hewani,200,409.5,49.75
14,Udang Balado Kuah,hewani,300,841.84,52.89
15,Ikan Teri Rebus,hewani,100,249.34,21.21
15,Ikan Teri Rebus,hewani,200,581.19,35.99
15,Ikan Teri Rebus,hewani,300,700.57,50.5
16,Sop Buntut Sambal,hewani,100,271.93,24.18
16,Sop Buntut Sambal,hewani,200,301.5,40.78
16,Sop Buntut Sambal,hewani,300,822.66,69.74
17,Sop Buntut Bakar,hewani,100,226.33,26.77
17,Sop Buntut Bakar,hewani,200,545.56,33.21
17,Sop Buntut Bakar,hewani,300,713.28,45.29
18,Ikan Tongkol Sambal,hewani,100,151.49,19.18
18,Ikan Tongkol Sambal,hewani,200,498.4,36.72
18,Ikan Tongkol Sambal,hewani,300,706.29,55.36
19,Kerang Hijau Goreng,hewani,100,158.27,21.93
19,Kerang Hijau Goreng,hewani,200,585.51,36.87
19,Kerang Hijau Goreng,hewani,300,603.82,56.77
20,Ayam Taliwang Sambal,hewani,100,230.15,18.43
20,Ayam Taliwang Sambal,hewani,200,521.81,42.38
20,Ayam Taliwang Sambal,hewani,300,716.99,58.78
21,Ayam Kampung Kecap,hewani,100,227.07,19.45
21,Ayam Kampung Kecap,hewani,200,481.34,44.22
21,Ayam Kampung Kecap,hewani,300,823.11,87.38
22,Telur Balado Kuah,hewani,100,294.42,26.08
22,Telur Balado Kuah,hewani,200,590.97,50.12
22,Telur Balado Kuah,hewani,300,789.18,74.03
23,Tongseng Sambal,hewani,100,299.56,29.5
23,Tongseng Sambal,hewani,200,595.09,55.13
23,Tongseng Sambal,hewani,300,456.81,79.57
24,Ikan Asin Jambal Tumis,hewani,100,187.25,28.5
24,Ikan Asin Jambal Tumis,hewani,200,572.06,33.75
24,Ikan Asin Jambal Tumis,hewani,300,892.79,45.03
25,Daging Kambing Tumis,hewani,100,196.49,22.81
25,Daging Kambing Tumis,hewani,200,518.0,40.59
25,Daging Kambing Tumis,hewani,300,494.38,73.45
26,Cumi Goreng Tepung Goreng,hewani,100,268.59,18.04
26,Cumi Goreng Tepung Goreng,hewani,200,576.23,34.1
26,Cumi Goreng Tepung Goreng,hewani,300,617.83,57.65
27,Opor Ayam Kecap,hewani,100,291.11,29.44
27,Opor Ayam Kecap,hewani,200,482.08,36.46
27,Opor Ayam Kecap,hewani,300,708.75,80.98
28,Daging Kambing Balado,hewani,100,295.45,22.02
28,Daging Kambing Balado,hewani,200,532.99,48.12
28,Daging Kambing Balado,hewani,300,567.09,78.43
29,Ikan Lele Tumis,hewani,100,228.05,17.39
29,Ikan Lele Tumis,hewani,200,517.32,57.0
29,Ikan Lele Tumis,hewani,300,757.38,73.08
30,Telur Ayam Kecap,hewani,100,206.45,16.89
30,Telur Ayam Kecap,hewani,200,372.29,41.86
30,Telur Ayam Kecap,hewani,300,605.37,74.47
31,Ikan Lele Bakar,hewani,100,285.16,18.47
31,Ikan Lele Bakar,hewani,200,556.91,41.89
31,Ikan Lele Bakar,hewani,300,559.37,61.9
32,Paru Sapi Kuah,hewani,100,252.36,28.53
32,Paru Sapi Kuah,hewani,200,386.55,57.58
32,Paru Sapi Kuah,hewani,300,616.64,81.91
33,Soto Ayam Balado,hewani,100,291.5,17.77
33,Soto Ayam Balado,hewani,200,572.29,56.65
33,Soto Ayam Balado,hewani,300,491.61,50.16
34,Ikan Bakar Tumis,hewani,100,271.16,26.07
34,Ikan Bakar Tumis,hewani,200,399.37,44.52
34,Ikan Bakar Tumis,hewani,300,608.0,71.04
35,Ikan Nila Balado,hewani,100,159.08,28.48
35,Ikan Nila Balado,hewani,200,503.71,59.69
35,Ikan Nila Balado,hewani,300,781.42,74.89
36,Ayam Geprek Kuah,hewani,100,263.39,27.01
36,Ayam Geprek Kuah,hewani,200,375.76,38.29
36,Ayam Geprek Kuah,hewani,300,852.23,63.37
37,Ikan Bakar Bakar,hewani,100,189.25,21.24
37,Ikan Bakar Bakar,hewani,200,344.58,43.89
37,Ikan Bakar Bakar,hewani,300,654.69,71.83
38,Ayam Goreng Goreng,hewani,100,265.53,28.46
38,Ayam Goreng Goreng,hewani,200,565.97,54.32
38,Ayam Goreng Goreng,hewani,300,589.75,57.65
39,Sate Ayam Tumis,hewani,100,167.36,24.81
39,Sate Ayam Tumis,hewani,200,480.32,47.52
39,Sate Ayam Tumis,hewani,300,543.56,46.78
40,Soto Betawi Tumis,hewani,100,174.38,20.89
40,Soto Betawi Tumis,hewani,200,515.91,44.27
40,Soto Betawi Tumis,hewani,300,862.94,45.48
41,Rendang Bakar,hewani,100,291.18,29.15
41,Rendang Bakar,hewani,200,437.34,51.51
41,Rendang Bakar,hewani,300,873.57,72.19
42,Cumi Goreng Tepung Bakar,hewani,100,249.83,16.02
42,Cumi Goreng Tepung Bakar,hewani,200,595.06,39.36
42,Cumi Goreng Tepung Bakar,hewani,300,555.84,56.59
43,Udang Balado Bakar,hewani,100,281.88,23.82
43,Udang Balado Bakar,hewani,200,383.28,50.98
43,Udang Balado Bakar,hewani,300,895.31,53.91
44,Ayam Geprek Kecap,hewani,100,259.12,24.97
44,Ayam Geprek Kecap,hewani,200,301.83,39.28
44,Ayam Geprek Kecap,hewani,300,877.15,77.15
45,Kerang Hijau Kecap,hewani,100,281.18,17.64
45,Kerang Hijau Kecap,hewani,200,322.75,53.9
45,Kerang Hijau Kecap,hewani,300,833.91,83.09
46,Soto Betawi Kuah,hewani,100,219.77,16.78
46,Soto Betawi Kuah,hewani,200,468.22,47.71
46,Soto Betawi Kuah,hewani,300,562.78,55.34
47,Ikan Tongkol Kuah,hewani,100,258.86,23.61
47,Ikan Tongkol Kuah,hewani,200,502.39,59.19
47,Ikan Tongkol Kuah,hewani,300,577.87,45.21
48,Daging Sapi Rebus,hewani,100,286.58,17.03
48,Daging Sapi Rebus,hewani,200,432.41,39.3
48,Daging Sapi Rebus,hewani,300,632.06,70.82
49,Cumi Sambal,hewani,100,184.27,27.24
49,Cumi Sambal,hewani,200,358.02,46.23
49,Cumi Sambal,hewani,300,762.35,88.22
50,Tongseng Goreng,hewani,100,201.99,19.59
50,Tongseng Goreng,hewani,200,585.41,57.2
50,Tongseng Goreng,hewani,300,717.64,75.9
51,Cumi Tumis,hewani,100,238.77,15.81
51,Cumi Tumis,hewani,200,568.54,50.15
51,Cumi Tumis,hewani,300,499.68,80.16
52,Ayam Penyet Rebus,hewani,100,274.39,27.93
52,Ayam Penyet Rebus,hewani,200,475.73,31.24
52,Ayam Penyet Rebus,hewani,300,746.77,68.16
53,Ikan Gurame Balado,hewani,100,279.17,27.4
53,Ikan Gurame Balado,hewani,200,470.97,54.56
53,Ikan Gurame Balado,hewani,300,517.72,45.16
