No,nama_makanan,kategori,berat_gr,kalori,protein
1,Sayur Nangka Goreng,nabati,100,97.58,3.06
1,Sayur Nangka Goreng,nabati,200,168.36,11.8
1,Sayur Nangka Goreng,nabati,300,161.12,21.23
2,Terong Sayur,nabati,100,113.44,4.46
2,Terong Sayur,nabati,200,122.54,9.83
2,Terong Sayur,nabati,300,332.86,16.56
3,Tumis Kangkung Balado,nabati,100,96.78,3.61
3,Tumis Kangkung Balado,nabati,200,173.62,16.71
3,Tumis Kangkung Balado,nabati,300,253.3,26.31
4,Seledri Goreng,nabati,100,75.83,9.74
4,Seledri Goreng,nabati,200,123.48,16.08
4,Seledri Goreng,nabati,300,422.31,15.68
5,Lontong Sayur Balado,nabati,100,70.67,7.61
5,Lontong Sayur Balado,nabati,200,285.96,12.71
5,Lontong Sayur Balado,nabati,300,424.7,29.6
6,Sayur Bayam Balado,nabati,100,117.13,7.81
6,Sayur Bayam Balado,nabati,200,293.05,12.4
6,Sayur Bayam Balado,nabati,300,174.07,14.69
7,Kacang Merah Rebus,nabati,100,62.65,3.49
7,Kacang Merah Rebus,nabati,200,293.0,18.25
7,Kacang Merah Rebus,nabati,300,243.52,21.46
8,Tahu Isi Tumis,nabati,100,71.9,6.96
8,Tahu Isi Tumis,nabati,200,244.8,18.27
8,Tahu Isi Tumis,nabati,300,154.11,29.91
9,Toge Kuah,nabati,100,95.23,3.3
9,Toge Kuah,nabati,200,182.47,11.15
9,Toge Kuah,nabati,300,409.31,6.38
10,Bakwan Jagung Goreng,nabati,100,99.68,3.42
10,Bakwan Jagung Goreng,nabati,200,260.63,16.76
10,Bakwan Jagung Goreng,nabati,300,431.68,6.31
11,Daun Singkong Goreng,nabati,100,72.74000000000001,7.59
11,Daun Singkong Goreng,nabati,200,198.45,10.86
11,Daun Singkong Goreng,nabati,300,286.8,23.41
12,Tahu Isi Bening,nabati,100,87.88,7.92
12,Tahu Isi Bening,nabati,200,191.93,19.6
12,Tahu Isi Bening,nabati,300,407.9,26.68
13,Sawi Hijau Tumis,nabati,100,73.87,8.34
13,Sawi Hijau Tumis,nabati,200,132.92,10.77
13,Sawi Hijau Tumis,nabati,300,272.82,15.04
14,Tumis Terong Rebus,nabati,100,91.2,7.75
14,Tumis Terong Rebus,nabati,200,145.83,17.9
14,Tumis Terong Rebus,nabati,300,260.36,12.96
15,Sambal Goreng Kentang Kuah,nabati,100,96.34,7.27
15,Sambal Goreng Kentang Kuah,nabati,200,110.38,8.8
15,Sambal Goreng Kentang Kuah,nabati,300,282.88,15.87
16,Labu Siam Kuah,nabati,100,133.17,2.51
16,Labu Siam Kuah,nabati,200,268.09,13.81
16,Labu Siam Kuah,nabati,300,164.58,7.31
17,Pecel Kuah,nabati,100,102.95,6.92
17,Pecel Kuah,nabati,200,251.12,5.77
17,Pecel Kuah,nabati,300,195.04,18.89
18,Gudeg Sayur,nabati,100,93.25,8.87
18,Gudeg Sayur,nabati,200,226.59,7.51
18,Gudeg Sayur,nabati,300,350.49,18.8
19,Daun Bawang Bening,nabati,100,75.95,9.33
19,Daun Bawang Bening,nabati,200,140.17,10.46
19,Daun Bawang Bening,nabati,300,258.41,25.29
20,Urap Sayur Goreng,nabati,100,86.53,2.88
20,Urap Sayur Goreng,nabati,200,105.44,13.51
20,Urap Sayur Goreng,nabati,300,418.63,19.34
21,Sayur Asem Santan,nabati,100,139.08,4.65
21,Sayur Asem Santan,nabati,200,211.01,17.44
21,Sayur Asem Santan,nabati,300,199.26,7.75
22,Toge Rebus,nabati,100,95.03,6.16
22,Toge Rebus,nabati,200,258.94,5.38
22,Toge Rebus,nabati,300,222.86,22.88
23,Kubis Goreng,nabati,100,117.95,9.09
23,Kubis Goreng,nabati,200,147.19,6.88
23,Kubis Goreng,nabati,300,265.86,24.32
24,Lontong Sayur Kuah,nabati,100,98.63,4.13
24,Lontong Sayur Kuah,nabati,200,157.8,10.53
24,Lontong Sayur Kuah,nabati,300,376.91,23.91
25,Keripik Bayam Balado,nabati,100,134.74,4.26
25,Keripik Bayam Balado,nabati,200,291.77,7.15
25,Keripik Bayam Balado,nabati,300,197.92,10.74
26,Pakcoy Balado,nabati,100,90.65,6.44
26,Pakcoy Balado,nabati,200,247.9,17.04
26,Pakcoy Balado,nabati,300,202.19,7.2
27,Terong Rebus,nabati,100,83.74,3.58
27,Terong Rebus,nabati,200,185.55,18.59
27,Terong Rebus,nabati,300,187.47,19.86
28,Pakcoy Goreng,nabati,100,62.41,2.44
28,Pakcoy Goreng,nabati,200,286.8,8.57
28,Pakcoy Goreng,nabati,300,343.41,9.89
29,Tahu Isi Santan,nabati,100,101.5,3.86
29,Tahu Isi Santan,nabati,200,220.37,13.41
29,Tahu Isi Santan,nabati,300,235.83,13.39
30,Daun Kelor Tumis,nabati,100,63.24,3.15
30,Daun Kelor Tumis,nabati,200,130.58,8.73
30,Daun Kelor Tumis,nabati,300,309.13,14.9
31,Daun Singkong Sayur,nabati,100,90.38,8.4
31,Daun Singkong Sayur,nabati,200,177.28,19.04
31,Daun Singkong Sayur,nabati,300,268.11,21.54
32,Bayam Rebus,nabati,100,111.33,6.66
32,Bayam Rebus,nabati,200,122.8,18.85
32,Bayam Rebus,nabati,300,309.88,9.79
33,Pecel Goreng,nabati,100,125.96,9.22
33,Pecel Goreng,nabati,200,249.43,18.71
33,Pecel Goreng,nabati,300,351.25,28.63
34,Daun Kelor Kuah,nabati,100,84.07,7.45
34,Daun Kelor Kuah,nabati,200,168.56,14.64
34,Daun Kelor Kuah,nabati,300,397.3,15.82
35,Tumis Pare Tumis,nabati,100,148.59,4.17
35,Tumis Pare Tumis,nabati,200,296.65,4.11
35,Tumis Pare Tumis,nabati,300,271.47,8.43
36,Tempe Goreng Santan,nabati,100,118.94,5.96
36,Tempe Goreng Santan,nabati,200,125.72,6.87
36,Tempe Goreng Santan,nabati,300,198.92,23.54
37,Gado-Gado Rebus,nabati,100,99.8,5.32
37,Gado-Gado Rebus,nabati,200,112.38,17.26
37,Gado-Gado Rebus,nabati,300,359.17,24.11
38,Daun Kelor Balado,nabati,100,101.54,3.17
38,Daun Kelor Balado,nabati,200,140.38,9.47
38,Daun Kelor Balado,nabati,300,343.89,17.59
39,Bakwan Jagung Sayur,nabati,100,67.68,3.11
39,Bakwan Jagung Sayur,nabati,200,190.6,19.57
39,Bakwan Jagung Sayur,nabati,300,199.1,28.09
40,Kacang Hijau Santan,nabati,100,105.52,8.27
40,Kacang Hijau Santan,nabati,200,160.0,11.79
40,Kacang Hijau Santan,nabati,300,217.58,13.96
41,Labu Siam Santan,nabati,100,82.84,5.34
41,Labu Siam Santan,nabati,200,178.81,4.26
41,Labu Siam Santan,nabati,300,374.38,20.93
42,Tumis Buncis Sayur,nabati,100,92.45,5.33
42,Tumis Buncis Sayur,nabati,200,213.93,16.45
42,Tumis Buncis Sayur,nabati,300,432.43,13.41
43,Oyong Kuah,nabati,100,68.52000000000001,4.5
43,Oyong Kuah,nabati,200,158.12,6.4
43,Oyong Kuah,nabati,300,161.26,26.24
44,Perkedel Kentang Sayur,nabati,100,144.44,9.32
44,Perkedel Kentang Sayur,nabati,200,291.02,10.94
44,Perkedel Kentang Sayur,nabati,300,272.83,28.08
45,Talas Bening,nabati,100,99.18,8.33
45,Talas Bening,nabati,200,239.15,5.43
45,Talas Bening,nabati,300,219.6,25.78
46,Tahu Isi Goreng,nabati,100,131.37,5.9
46,Tahu Isi Goreng,nabati,200,103.23,8.4
46,Tahu Isi Goreng,nabati,300,208.7,27.76
47,Urap Sayur Tumis,nabati,100,98.85,6.43
47,Urap Sayur Tumis,nabati,200,126.4,14.73
47,Urap Sayur Tumis,nabati,300,157.14,22.33
48,Gudeg Balado,nabati,100,72.61,2.99
48,Gudeg Balado,nabati,200,228.49,11.68
48,Gudeg Balado,nabati,300,184.29,14.21
49,Sawi Hijau Rebus,nabati,100,116.94,5.19
49,Sawi Hijau Rebus,nabati,200,109.35,12.36
49,Sawi Hijau Rebus,nabati,300,398.59,6.55
50,Kacang Merah Bening,nabati,100,114.45,8.79
50,Kacang Merah Bening,nabati,200,279.14,10.52
50,Kacang Merah Bening,nabati,300,173.31,18.5
51,Urap Sayur Santan,nabati,100,143.7,4.81
51,Urap Sayur Santan,nabati,200,229.27,15.44
51,Urap Sayur Santan,nabati,300,288.32,16.93
52,Pecel Bening,nabati,100,66.69,3.45
52,Pecel Bening,nabati,200,138.68,9.8
52,Pecel Bening,nabati,300,213.78,15.01
53,Petai Santan,nabati,100,85.57,8.31
53,Petai Santan,nabati,200,129.41,9.47
53,Petai Santan,nabati,300,308.23,19.11
54,Kentang Santan,nabati,100,129.91,2.73
54,Kentang Santan,nabati,200,113.48,14.31
54,Kentang Santan,nabati,300,238.0,6.5
55,Sayur Bayam Sayur,nabati,100,113.95,2.58
55,Sayur Bayam Sayur,nabati,200,199.77,6.46
55,Sayur Bayam Sayur,nabati,300,305.95,25.93
56,Lontong Sayur Goreng,nabati,100,121.14,2.72
56,Lontong Sayur Goreng,nabati,200,298.97,13.24
56,Lontong Sayur Goreng,nabati,300,179.26,12.53
57,Sayur Labu Balado,nabati,100,89.09,4.52
57,Sayur Labu Balado,nabati,200,280.08,13.46
57,Sayur Labu Balado,nabati,300,279.25,29.86
58,Tempe Goreng Balado,nabati,100,140.62,7.78
58,Tempe Goreng Balado,nabati,200,288.27,15.0
58,Tempe Goreng Balado,nabati,300,210.43,22.4
59,Kubis Rebus,nabati,100,110.76,7.27
59,Kubis Rebus,nabati,200,236.02,5.47
59,Kubis Rebus,nabati,300,200.29,19.15
60,Labu Siam Balado,nabati,100,113.44,4.91
60,Labu Siam Balado,nabati,200,136.24,5.95
60,Labu Siam Balado,nabati,300,247.08,28.54
61,Kacang Hijau Tumis,nabati,100,82.05,4.04
61,Kacang Hijau Tumis,nabati,200,227.36,7.9
61,Kacang Hijau Tumis,nabati,300,293.53,18.5
62,Sambal Goreng Kentang Balado,nabati,100,86.75,3.32
62,Sambal Goreng Kentang Balado,nabati,200,176.51,9.44
62,Sambal Goreng Kentang Balado,nabati,300,381.8,22.12
63,Oseng Tempe Bening,nabati,100,71.86,5.02
63,Oseng Tempe Bening,nabati,200,190.89,15.83
63,Oseng Tempe Bening,nabati,300,331.98,15.0
64,Tumis Pare Balado,nabati,100,72.09,3.64
64,Tumis Pare Balado,nabati,200,105.24,17.73
64,Tumis Pare Balado,nabati,300,259.33,21.26
65,Seledri Kuah,nabati,100,103.78,2.98
65,Seledri Kuah,nabati,200,125.4,5.38
65,Seledri Kuah,nabati,300,407.1,29.69
66,Kacang Panjang Kuah,nabati,100,67.27000000000001,4.01
66,Kacang Panjang Kuah,nabati,200,267.64,10.14
66,Kacang Panjang Kuah,nabati,300,416.34,29.33
67,Tumis Pare Sayur,nabati,100,100.13,2.69
67,Tumis Pare Sayur,nabati,200,103.45,16.31
67,Tumis Pare Sayur,nabati,300,276.09,21.97
68,Tumis Pare Kuah,nabati,100,133.79,6.09
68,Tumis Pare Kuah,nabati,200,291.71,9.26
68,Tumis Pare Kuah,nabati,300,225.7,24.64
69,Jengkol Bening,nabati,100,90.28,2.78
69,Jengkol Bening,nabati,200,276.1,17.38
69,Jengkol Bening,nabati,300,422.06,21.09
70,Kangkung Kuah,nabati,100,131.02,3.84
70,Kangkung Kuah,nabati,200,255.35,9.05
70,Kangkung Kuah,nabati,300,193.15,16.18
71,Perkedel Kentang Kuah,nabati,100,125.14,3.55
71,Perkedel Kentang Kuah,nabati,200,296.18,5.29
71,Perkedel Kentang Kuah,nabati,300,346.11,26.55
72,Kacang Merah Goreng,nabati,100,148.36,9.59
72,Kacang Merah Goreng,nabati,200,248.34,7.81
72,Kacang Merah Goreng,nabati,300,415.76,8.47
73,Kangkung Santan,nabati,100,104.69,2.38
73,Kangkung Santan,nabati,200,298.67,7.62
73,Kangkung Santan,nabati,300,201.31,12.74
74,Sayur Asem Kuah,nabati,100,97.17,7.56
74,Sayur Asem Kuah,nabati,200,104.48,9.61
74,Sayur Asem Kuah,nabati,300,196.11,24.34
75,Sayur Lodeh Santan,nabati,100,108.64,9.58
75,Sayur Lodeh Santan,nabati,200,161.19,9.97
75,Sayur Lodeh Santan,nabati,300,332.22,15.17
76,Perkedel Kentang Tumis,nabati,100,94.1,3.01
76,Perkedel Kentang Tumis,nabati,200,137.95,14.08
76,Perkedel Kentang Tumis,nabati,300,186.57,8.82
77,Tempe Goreng Kuah,nabati,100,124.92,6.62
77,Tempe Goreng Kuah,nabati,200,136.59,4.76
77,Tempe Goreng Kuah,nabati,300,412.02,10.95
78,Sambal Goreng Kentang Goreng,nabati,100,98.99,7.33
78,Sambal Goreng Kentang Goreng,nabati,200,191.89,15.71
78,Sambal Goreng Kentang Goreng,nabati,300,259.89,11.13
79,Tumis Kangkung Santan,nabati,100,90.3,6.93
79,Tumis Kangkung Santan,nabati,200,248.55,12.05
79,Tumis Kangkung Santan,nabati,300,351.75,25.11
80,Keripik Bayam Rebus,nabati,100,144.0,2.84
80,Keripik Bayam Rebus,nabati,200,278.97,14.03
80,Keripik Bayam Rebus,nabati,300,306.13,19.58
81,Tempe Goreng Bening,nabati,100,101.85,7.61
81,Tempe Goreng Bening,nabati,200,266.71,6.08
81,Tempe Goreng Bening,nabati,300,232.7,28.08
82,Tumis Terong Goreng,nabati,100,139.05,7.42
82,Tumis Terong Goreng,nabati,200,258.73,15.51
82,Tumis Terong Goreng,nabati,300,298.78,12.48
83,Sayur Nangka Santan,nabati,100,94.5,5.82
83,Sayur Nangka Santan,nabati,200,205.59,11.85
83,Sayur Nangka Santan,nabati,300,338.89,15.33
84,Daun Bawang Sayur,nabati,100,102.56,2.73
84,Daun Bawang Sayur,nabati,200,213.67,4.56
84,Daun Bawang Sayur,nabati,300,387.91,25.11
85,Wortel Goreng,nabati,100,77.9,5.11
85,Wortel Goreng,nabati,200,245.21,17.17
85,Wortel Goreng,nabati,300,273.97,12.59
86,Sayur Nangka Sayur,nabati,100,84.98,3.77
86,Sayur Nangka Sayur,nabati,200,242.87,6.6
86,Sayur Nangka Sayur,nabati,300,354.44,17.94
87,Keripik Bayam Sayur,nabati,100,124.38,5.96
87,Keripik Bayam Sayur,nabati,200,111.45,17.05
87,Keripik Bayam Sayur,nabati,300,376.41,6.82
88,Keripik Singkong Goreng,nabati,100,119.09,7.52
88,Keripik Singkong Goreng,nabati,200,191.47,7.85
88,Keripik Singkong Goreng,nabati,300,219.18,18.96
89,Sawi Putih Rebus,nabati,100,76.19,6.9
89,Sawi Putih Rebus,nabati,200,299.25,8.92
89,Sawi Putih Rebus,nabati,300,195.96,12.26
90,Tempe Goreng Rebus,nabati,100,145.68,2.66
90,Tempe Goreng Rebus,nabati,200,163.06,12.61
90,Tempe Goreng Rebus,nabati,300,288.83,18.19
91,Sambal Goreng Kentang Tumis,nabati,100,95.54,5.19
91,Sambal Goreng Kentang Tumis,nabati,200,252.66,7.03
91,Sambal Goreng Kentang Tumis,nabati,300,415.83,18.19
92,Petai Goreng,nabati,100,113.09,9.95
92,Petai Goreng,nabati,200,213.13,10.34
92,Petai Goreng,nabati,300,424.11,14.1
93,Sayur Bayam Tumis,nabati,100,124.23,7.94
93,Sayur Bayam Tumis,nabati,200,142.67,6.54
93,Sayur Bayam Tumis,nabati,300,235.3,10.88
94,Sayur Bayam Bening,nabati,100,79.51,3.12
94,Sayur Bayam Bening,nabati,200,269.77,13.41
94,Sayur Bayam Bening,nabati,300,318.17,16.76
95,Lontong Sayur Santan,nabati,100,146.38,5.23
95,Lontong Sayur Santan,nabati,200,273.84,6.08
95,Lontong Sayur Santan,nabati,300,177.97,7.35
96,Kacang Panjang Sayur,nabati,100,121.95,7.38
96,Kacang Panjang Sayur,nabati,200,150.88,12.01
96,Kacang Panjang Sayur,nabati,300,432.8,15.77
97,Pakcoy Rebus,nabati,100,89.61,5.14
97,Pakcoy Rebus,nabati,200,188.76,11.69
97,Pakcoy Rebus,nabati,300,285.9,20.01
98,Daun Bawang Santan,nabati,100,101.59,6.18
98,Daun Bawang Santan,nabati,200,246.75,16.95
98,Daun Bawang Santan,nabati,300,394.4,11.45
99,Tumis Terong Balado,nabati,100,79.27,4.72
99,Tumis Terong Balado,nabati,200,115.3,8.15
99,Tumis Terong Balado,nabati,300,243.41,16.94
100,Sambal Goreng Kentang Rebus,nabati,100,90.88,3.1
100,Sambal Goreng Kentang Rebus,nabati,200,118.31,18.48
100,Sambal Goreng Kentang Rebus,nabati,300,389.35,25.0
101,Terong Kuah,nabati,100,77.14,8.51
101,Terong Kuah,nabati,200,250.27,15.14
101,Terong Kuah,nabati,300,407.1,20.54
102,Petai Bening,nabati,100,110.4,7.59
